,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,11908,1,2017-08-12T14:00:00+00:00,St. Mary's Stadium,41,76,0,0,0,0,2,0,16,2,29,4,11,2,16,3,13,1,10,13,13,0,0,1,59%,41%,2,1,,,0,2,518,365,432,284,83%,78%
1,11900,2,2017-08-19T14:00:00+00:00,St. Mary's Stadium,41,48,2,1,3,2,5,8,6,6,14,16,3,2,7,13,7,3,18,10,7,2,1,0,66%,34%,1,1,0,1,6,2,569,287,487,192,86%,67%
2,11888,1,2017-08-26T14:00:00+00:00,John Smith's Stadium,37,41,0,0,0,0,6,3,4,3,16,6,6,0,12,3,4,3,10,10,5,4,0,3,44%,56%,0,1,,,2,6,378,502,265,382,70%,76%
3,11880,0,2017-09-09T14:00:00+00:00,St. Mary's Stadium,41,38,0,1,0,2,1,3,3,5,9,12,5,4,4,4,5,8,8,11,7,4,2,1,52%,48%,,,,,1,1,423,384,304,276,72%,72%
4,11870,0,2017-09-16T11:30:00+00:00,Selhurst Park,52,41,0,1,0,1,3,4,9,4,14,13,2,5,10,8,4,5,14,13,5,5,0,1,45%,55%,5,1,,,3,3,410,503,311,404,76%,80%
5,11858,0,2017-09-23T14:00:00+00:00,St. Mary's Stadium,41,33,0,1,0,1,4,4,6,3,14,9,4,2,8,6,6,3,12,9,8,4,3,2,60%,40%,1,4,,,3,3,544,368,453,288,83%,78%
6,11848,2,2017-09-30T14:00:00+00:00,bet365 Stadium,75,41,1,0,2,1,6,3,1,12,17,21,10,6,11,16,6,5,11,10,5,6,1,3,29%,71%,1,2,,,2,5,262,620,171,533,65%,86%
7,11833,1,2017-10-15T15:00:00+00:00,St. Mary's Stadium,41,34,0,1,2,2,2,5,6,8,12,19,4,6,7,12,5,7,11,12,3,8,1,0,61%,39%,1,2,,,2,0,583,347,495,260,85%,75%
8,11824,2,2017-10-21T16:30:00+00:00,St. Mary's Stadium,41,60,0,0,1,0,6,2,11,4,20,7,3,1,11,2,9,5,10,8,8,3,2,1,65%,35%,0,1,,,2,5,589,307,492,206,84%,67%
9,11814,1,2017-10-29T13:30:00+00:00,American Express Community Stadium,51,41,0,1,1,1,2,1,4,2,7,6,1,3,6,3,1,3,9,10,2,7,0,1,51%,49%,3,1,,,0,1,490,450,395,360,81%,80%
10,11809,0,2017-11-04T15:00:00+00:00,St. Mary's Stadium,41,44,0,0,0,1,3,1,6,2,13,5,4,2,11,2,2,3,4,4,9,1,2,1,62%,38%,,,,,0,3,575,344,466,239,81%,69%
11,11799,2,2017-11-18T15:00:00+00:00,Anfield,40,41,2,0,3,0,8,0,6,3,21,5,7,2,12,4,9,1,15,9,10,2,2,2,61%,39%,1,1,,,0,5,562,362,472,261,84%,72%
12,11784,2,2017-11-26T13:30:00+00:00,St. Mary's Stadium,41,45,1,1,4,1,5,2,7,3,17,5,5,0,10,0,7,5,6,13,7,2,,,67%,33%,,,,,1,1,663,329,564,232,85%,71%
13,11773,2,2017-11-29T20:00:00+00:00,Etihad Stadium,50,41,0,0,2,1,12,2,8,3,26,7,6,2,11,7,15,0,12,11,6,5,1,1,74%,26%,1,1,,,1,10,778,270,668,157,86%,58%
14,11763,1,2017-12-03T13:30:00+00:00,Vitality Stadium,35,41,1,0,1,1,5,4,7,9,16,15,4,2,9,11,7,4,6,12,5,4,0,6,47%,53%,2,1,,,2,4,415,458,330,371,80%,81%
15,11754,1,2017-12-10T12:00:00+00:00,St. Mary's Stadium,41,42,1,0,1,1,3,6,2,4,6,11,1,1,3,6,3,5,12,10,4,5,4,1,33%,67%,2,2,,,5,3,375,758,296,664,79%,88%
16,11747,0,2017-12-13T19:45:00+00:00,St. Mary's Stadium,41,46,0,3,1,4,4,11,5,2,11,16,2,3,6,9,5,7,13,9,9,9,3,1,53%,47%,1,0,,,5,3,413,369,334,278,81%,75%
